Up to date,Starred,Name,Test case,longitud extra pontones [mm],angulo tras [°],angulo del [°],Pressure Drop [Pa],Max. Velocity [m/s],Y Force 2 [N],Z Force 3 [N]
Solved,False,DV156,,4,1,"3,00000000000015","357,6357421875","84,8362579345703","4,74378824234009","1,16159617900848"
Solved,False,DV157,,4,1,"3,99999999999997","357,2802734375","83,3942642211914","4,73589897155762","1,20364189147949"
Solved,False,DV158,,4,1,"4,99999999999996","342,877197265625","88,5051116943359","4,71939468383789","2,09831357002258"
Solved,False,DV159,,4,"1,9999999999998","2,36156185098666E-13","359,9306640625","85,9219665527344","4,89322805404663","1,11889719963074"
Solved,False,DV160,,4,2,"0,999999999999994","346,7373046875","85,4641571044922","4,682204246521","0,711320698261261"
Solved,False,DV161,,4,2,"2,0000000000001","344,48828125","84,9262924194336","4,67475748062134","0,642581105232239"
Solved,False,DV162,,4,2,"2,99999999999999","357,7861328125","83,9078216552734","4,85970640182495","0,746984243392944"
Solved,False,DV163,,4,2,"4,00000000000018","351,0673828125","84,5194473266602","4,70469284057617","0,979160964488983"
Solved,False,DV164,,4,2,"4,99999999999996","347,76611328125","87,3397979736328","4,7698073387146","1,45962285995483"
Solved,False,DV165,,4,"2,99999999999999","1,30402741940004E-13","360,413330078125","86,1606216430664","4,8888087272644","0,928248524665833"
Solved,False,DV166,,4,3,"1,00000000000005","354,625244140625","85,4055480957031","4,76555347442627","0,675192177295685"
Solved,False,DV167,,4,3,"2,00000000000021","350,6181640625","84,4829788208008","4,70661449432373","0,489040106534958"
Solved,False,DV168,,4,3,"2,99999999999999","360,8193359375","84,5556106567383","4,78849077224731","0,862322688102722"
Solved,False,DV169,,4,3,"3,99999999999981","357,44873046875","83,4519348144531","4,75078535079956","0,843793749809265"
Solved,False,DV170,,4,3,"5,00000000000011","350,44091796875","87,2648010253906","4,79825019836426","1,38782119750977"
Solved,False,DV171,,4,"4,00000000000005","7,71284510254903E-14","371,317138671875","87,1102447509766","4,9976372718811","0,23685547709465"
Solved,False,DV172,,4,4,"0,999999999999995","359,976318359375","86,888298034668","4,85234308242798","0,144620135426521"
Solved,False,DV173,,4,4,"2,00000000000005","370,95849609375","86,890739440918","4,91000318527222","0,0241243783384562"
Solved,False,DV174,,4,4,"3,00000000000009","373,26806640625","87,1252822875977","5,09641695022583","0,167370229959488"
Solved,False,DV175,,4,4,"4,00000000000018","372,33447265625","86,8078689575195","4,8739128112793","0,210763141512871"
Solved,False,DV176,,4,4,"5,00000000000011","357,678466796875","87,2519989013672","4,86867618560791","1,073077917099"
Solved,False,DV177,,4,"5,00000000000031","1,83677032854518E-13","373,883056640625","85,5660400390625","5,0287766456604","0,518097639083862"
Solved,False,DV178,,4,5,"0,999999999999833","359,880859375","85,4778442382813","4,8719310760498","0,384941935539246"
Solved,False,DV179,,4,5,"2,00000000000021","366,174560546875","84,5181350708008","4,85353231430054","0,354708433151245"
Solved,False,DV180,,4,5,"3,00000000000015","370,049560546875","85,2612838745117","5,01458406448364","0,451923578977585"
Solved,False,DV181,,4,5,"4,00000000000018","376,876953125","84,0914840698242","4,94293546676636","0,585771143436432"
Solved,False,DV182,,4,5,"5,00000000000017","360,664794921875","87,899055480957","4,92867660522461","1,23863613605499"
Solved,False,DV183,,"4,99999999999999","3,81666561775622E-14",0,"351,68408203125","84,9380798339844","4,74525785446167","1,38312351703644"
Solved,False,DV184,,5,0,"0,99999999999978","350,882568359375","85,6152801513672","4,76672315597534","0,891612887382507"
Solved,False,DV185,,5,0,"1,99999999999978","343,625244140625","84,687873840332","4,64393949508667","1,1669727563858"
Solved,False,DV186,,5,0,"3,00000000000015","351,48583984375","84,5320587158203","4,79430913925171","1,24549221992493"
Solved,False,DV187,,5,0,"3,99999999999986","351,06396484375","83,5056533813477","4,70775985717773","1,26358556747437"
Solved,False,DV188,,5,0,"4,9999999999998","339,658203125","88,1369552612305","4,67187547683716","1,97522211074829"
Solved,False,DV189,,5,"0,99999999999991","2,36156185098666E-13","354,262939453125","85,120475769043","4,73355674743652","1,36446964740753"
Solved,False,DV190,,5,1,"0,99999999999978","354,873291015625","85,5797729492188","4,79313850402832","1,09117126464844"
